Country,Region,Continent
Afghanistan,Southern Asia,Asia
Åland Islands,Northern Europe,Europe
Albania,Southern Europe,Europe
Algeria,Northern Africa,Africa
American Samoa,Polynesia,Oceania
Andorra,Southern Europe,Europe
Angola,Middle Africa,Africa
Anguilla,Caribbean,North America
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Caribbean,North America
Argentina,South America,South America
Armenia,Western Asia,Asia
Aruba,Caribbean,North America
Australia,Australia and New Zealand,Oceania
Austria,Western Europe,Europe
Azerbaijan,Western Asia,Asia
Bahamas,Caribbean,North America
Bahrain,Western Asia,Asia
Bangladesh,Southern Asia,Asia
Barbados,Caribbean,North America
Belarus,Eastern Europe,Europe
Belgium,Western Europe,Europe
Belize,Central America,North America
Benin,Western Africa,Africa
Bermuda,Northern America,North America
Bhutan,Southern Asia,Asia
Bolivia (Plurinational State of),South America,South America
"Bonaire, Sint Eustatius and Saba",Caribbean,North America
Bosnia and Herzegovina,Southern Europe,Europe
Botswana,Southern Africa,Africa
Bouvet Island,South America,South America
Brazil,South America,South America
British Indian Ocean Territory,Eastern Africa,Africa
British Virgin Islands,Caribbean,North America
Brunei Darussalam,South-eastern Asia,Asia
Bulgaria,Eastern Europe,Europe
Burkina Faso,Western Africa,Africa
Burundi,Eastern Africa,Africa
Cabo Verde,Western Africa,Africa
Cambodia,South-eastern Asia,Asia
Cameroon,Middle Africa,Africa
Canada,Northern America,North America
Cayman Islands,Caribbean,North America
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
Chile,South America,South America
China,Eastern Asia,Asia
"China, Hong Kong Special Administrative Region",Eastern Asia,Asia
"China, Macao Special Administrative Region",Eastern Asia,Asia
Christmas Island,Australia and New Zealand,Oceania
Cocos (Keeling) Islands,Australia and New Zealand,Oceania
Colombia,South America,South America
Comoros,Eastern Africa,Africa
Congo,Middle Africa,Africa
Cook Islands,Polynesia,Oceania
Costa Rica,Central America,North America
Côte d'Ivoire,Western Africa,Africa
Croatia,Southern Europe,Europe
Cuba,Caribbean,North America
Curaçao,Caribbean,North America
Cyprus,Western Asia,Asia
Czechia,Eastern Europe,Europe
Democratic People's Republic of Korea,Eastern Asia,Asia
Democratic Republic of the Congo,Middle Africa,Africa
Denmark,Northern Europe,Europe
Djibouti,Eastern Africa,Africa
Dominica,Caribbean,North America
Dominican Republic,Caribbean,North America
Ecuador,South America,South America
Egypt,Northern Africa,Africa
El Salvador,Central America,North America
Equatorial Guinea,Middle Africa,Africa
Eritrea,Eastern Africa,Africa
Estonia,Northern Europe,Europe
Eswatini,Southern Africa,Africa
Ethiopia,Eastern Africa,Africa
Falkland Islands (Malvinas),South America,South America
Faroe Islands,Northern Europe,Europe
Fiji,Melanesia,Oceania
Finland,Northern Europe,Europe
France,Western Europe,Europe
French Guiana,South America,South America
French Polynesia,Polynesia,Oceania
French Southern Territories,Eastern Africa,Africa
Gabon,Middle Africa,Africa
Gambia,Western Africa,Africa
Georgia,Western Asia,Asia
Germany,Western Europe,Europe
Ghana,Western Africa,Africa
Gibraltar,Southern Europe,Europe
Greece,Southern Europe,Europe
Greenland,Northern America,North America
Grenada,Caribbean,North America
Guadeloupe,Caribbean,North America
